,TCGA-62-8402-01A-11R-2326-07,TCGA-J2-8192-01A-11R-2241-07,TCGA-67-3772-01A-01R-0946-07,TCGA-38-4628-01A-01R-1206-07,TCGA-55-7816-01A-11R-2170-07,TCGA-78-7540-01A-11R-2066-07,TCGA-78-7143-01A-11R-2039-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-55-8619-01A-11R-2403-07,TCGA-73-7499-01A-11R-2187-07,TCGA-62-8395-01A-11R-2326-07,TCGA-86-8668-01A-11R-2403-07,TCGA-50-6673-01A-11R-1949-07,TCGA-97-8547-01A-11R-2403-07,TCGA-49-4501-01A-01R-1206-07,TCGA-55-8513-01A-11R-2403-07,TCGA-86-8278-01A-11R-2287-07,TCGA-44-2665-01A-01R-0946-07,TCGA-97-8552-01A-11R-2403-07,TCGA-71-8520-01A-11R-2403-07,TCGA-55-8087-01A-11R-2241-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-91-8497-01A-11R-2403-07,TCGA-91-8496-01A-11R-2403-07,TCGA-38-6178-01A-11R-1755-07,TCGA-49-4512-01A-21R-1858-07,TCGA-38-4630-01A-01R-1206-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-62-8394-01A-11R-2326-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-55-6986-01A-11R-1949-07,TCGA-86-7955-01A-11R-2187-07,TCGA-86-8076-01A-31R-2241-07,TCGA-35-3615-01A-01R-0946-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-8585-01A-11R-2403-07,TCGA-55-8505-01A-11R-2403-07,TCGA-55-8206-01A-11R-2241-07,TCGA-55-6980-01A-11R-1949-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-55-7815-01A-11R-2170-07,TCGA-55-6978-01A-11R-1949-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07,TCGA-05-5429-01A-01R-1628-07,TCGA-95-8039-01A-11R-2241-07,TCGA-86-8279-01A-11R-2287-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-6562-01A-11R-1755-07
ENSG00000109132,0,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,6,0,0,5,55,0,1,134,0,0,0,1,0,0,0,80,1,0,1,0,2330,0
ENSG00000105141,0,82,0,0,1,2,1,0,0,4,0,0,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,7410,0,0,0,19,76,0,3,120,0,0,1,0,2,21,0,467,2,0
ENSG00000215580,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,33,28,3,124,3,35,3,20,16,27,22,29,13,1,42,4,7,4
ENSG00000227234,0,1,1,0,25,14,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,35,0,0,0,2660,1659,0,1,0,0,2,140,0,2,0,0,0,0,0
ENSG00000002745,5,18,7,5,18,9,14,6,7,37,6,1,0,8,56,8,5,7,11,5,2,13,20,0,3,4,13,15,45,10,4,47,19,8,12,4,4,4,5,11,9,51,119,9155,5,7,6,9,7,13
ENSG00000169297,3,1,0,0,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,33,0,4,27,137,0,0,304,0,0,5,0,25,565,1,969,0,0,2,1,1
ENSG00000260458,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,3,1,0,369,58,0,0,87,0,0,0,1,3,0,0,0,0,0
ENSG00000179914,13,22,22,194,915200,60,27,40,62,46,12,12,352,3,175,36,10,3,83,30,14,145,13,71,2,3,99,18,86,3,908,2,67,28,3,8,4,96,13,66,11,6,5,4,2,43,27,14,12,47
ENSG00000229807,49582,20132,749,216,14604,813,5193,5959,5920,1874,8569,7500,2096,1522,1323,5534,15907,4675,8214,2305,14959,12283,6510,2869,905,7095,932,4692,3670,10219,1390,1,281,7,28,3,6,4,3,4,1,6,0,0,0,0,16,15,1,6
ENSG00000154478,102,0,1,0,7,0,0,0,0,0,1,2,2,3,0,0,1,1,0,0,4,0,1,0,0,3,19,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,2,0,2,1,1,1,0,2
ENSG00000166049,0,0,0,0,1,0,0,0,0,0,0,0,1949,0,0,1,2,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
ENSG00000139219,17794,33,4,208,6,0,4,2,4,0,16,6,2,5,52,0,4,480,6,125,1,3,65,1,18,13,116,38,3,37,1,2,6,0,5,7,4,3,4,3,0,6,2,1,3,5,17,14,71,12
ENSG00000170370,0,2,6,12,90,0,0,1,0,5,0,0,1,4,5,2,2,1,0,2,1,0,1,0,1,1,18806,0,0,2,0,0,2,0,0,0,1,2,0,0,2,1,0,1,5,0,0,0,0,0
ENSG00000175766,0,0,0,0,16,0,30,3,0,4,0,0,6,452,1,0,19,1,6,0,1,5,0,22,0,3,3,0,3,4125,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,2,3,0,1
ENSG00000183166,0,1,2,8,8,0,0,0,4,0,1,0,1,2,4,1,3,12,3,6,3,6,0,0,1,1,818,2,0,15,4,0,0,3,0,0,0,5,1,15,0,1,0,0,1,0,4,1,1,1
ENSG00000242366,7,26,1,0,0,6,0,2,2,0,0,0,2282,241,34,1,4,0,1,0,0,0,1,0,0,0,0,0,345,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,17,0,0,2,0
ENSG00000238269,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,5,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,1
ENSG00000157851,0,3,4,3,0,9,2,0,5,3,2,0,0,1,18,1,1,1,1,0,3,0,0,2,1,0,2514,1,2,2,1,0,1,1,6,1,0,1,2,1,4,0,2,0,1,0,0,0,0,0
ENSG00000229847,0,8,3,2,246,1,2,0,0,11,1,0,1,6,7,2,2,8,0,4,1,0,0,3,3,3,10122,0,2,4,1,0,1,0,0,1,3,3,0,2,0,1,2,0,9,1,1,3,1,9
ENSG00000136110,1,5510,1602,1732,0,5,0,2,3,3,2,1,1,0,126,0,27,78388,119,1,4,103,194,4,1577,7,29,12,2,96,1,0,27,1,493,0,1,19,0,6,2,0,4,1,0,2,3,14,1,1
ENSG00000177108,992,1,2,28,0,0,0,1,4,0,1,0,2,0,12,2,2,0,2,8,0,5,10,0,2,3,17,1,5,0,6,0,1,2,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1
ENSG00000248300,0,0,0,0,514,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
ENSG00000142515,0,2,0,1,0,3,9,0,1,53,1,0,0,0,3,1,0,0,1,2,0,1,8,0,0,0,0,0,1,1,0,0,2,0,2,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1
ENSG00000125255,2,0,0,0,0,2,0,0,4,0,1,14,2,0,33,6,0,0,2,2,11385,4,18,1,0,0,2,0,3,0,2,2,1,1,0,0,0,5,1,0,0,4,15,1,0,8,0,2,0,2
ENSG00000230805,94,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270816,3,0,1,1,21,0,3,0,0,33,1,0,437,0,5,0,6,0,0,0,5,1,0,0,0,0,77,2,0,2,0,0,7,0,0,0,0,0,0,11,0,1,3,4,0,0,1,0,0,1
ENSG00000161055,5706,13811,51508,29154,88,220,8104,7760,4886,158685,3678,74662,1974,68,25195,11535,145,140,109471,192,51022,6708,19146,1217809,364,4380,32,1565,514,13316,1381,155,9992,1456,21,2373,37,10212,987,651,2,622,1321,229,49,674,2643,2503,155,1888
ENSG00000092054,19,6,1,1,6,0,1,5,1,3345,3,1,28,0,1,1,1,0,6,0,0,0,0,0,1,1,142,9,6,15,0,2,10,1,1,1,0,2,0,0,0,5,1,0,1,2,15,0,3,1
ENSG00000253593,1,9,96,1,8,2,1,3,3,2,18,2,21,0,24,0,328,5,0,5,10,6,2,21,0,3,1,2,1,79,2,1,4,4,2,2,4,11,3,0,2,1,10,2,4,0,8,2,1,0
ENSG00000152092,0,42,12,1,2574,7,4,2,6,37,21,14,8,5,78,10,32,18,11,5,8,8,41,2,6,6,166,23,2,6,15,3,10,4,5,1,0,42,4,15,0,4,11,5,0,1,12,1,2,3
ENSG00000169594,3,43,9,5,19682,12,8,5,4,4,4,8,5,4,81,4,3,6,3,4,0,6,3,3,28,4,15,1,5,0,51,0,6,0,29,4,10,13,5,6,2,40,2,5,1,8,8,2,0,4
ENSG00000204248,48,82,15,29,43,31,98,41,62,41,87,92,9,35,79,81,238,81,107,38,48,113,59,5,294,27,544,115,358,271,7,37,68,24,61,44,51,145,13,124,0,34,40,4,56,5,80,148,30,5
