,TCGA-55-6986-01A-11R-1949-07,TCGA-55-8619-01A-11R-2403-07,TCGA-44-2665-01A-01R-0946-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-73-7499-01A-11R-2187-07,TCGA-49-4512-01A-21R-1858-07,TCGA-44-2661-01A-01R-1107-07,TCGA-38-6178-01A-11R-1755-07,TCGA-05-5715-01A-01R-1628-07,TCGA-97-8552-01A-11R-2403-07,TCGA-86-8278-01A-11R-2287-07,TCGA-55-8513-01A-11R-2403-07,TCGA-38-4630-01A-01R-1206-07,TCGA-55-6982-01A-11R-1949-07,TCGA-86-7953-01A-11R-2187-07,TCGA-62-8397-01A-11R-2326-07,TCGA-55-8087-01A-11R-2241-07,TCGA-50-6591-01A-11R-1755-07,TCGA-67-3772-01A-01R-0946-07,TCGA-86-8280-01A-11R-2287-07,TCGA-49-4501-01A-01R-1206-07,TCGA-99-8033-01A-11R-2241-07,TCGA-05-4402-01A-01R-1206-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-67-6216-01A-11R-1755-07,TCGA-62-8402-01A-11R-2326-07,TCGA-67-6215-01A-11R-1755-07,TCGA-91-8497-01A-11R-2403-07,TCGA-97-8177-01A-11R-2287-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-55-8505-01A-11R-2403-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-6978-01A-11R-1949-07,TCGA-86-7955-01A-11R-2187-07,TCGA-95-8039-01A-11R-2241-07,TCGA-50-5066-01A-01R-1628-07,TCGA-35-3615-01A-01R-0946-07,TCGA-86-8585-01A-11R-2403-07,TCGA-05-5429-01A-01R-1628-07,TCGA-55-8206-01A-11R-2241-07,TCGA-69-7760-01A-11R-2170-07,TCGA-55-6980-01A-11R-1949-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-8279-01A-11R-2287-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07
ENSG00000109132,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,15,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,134,0,0,1,0,1,80,2330,55,0,0,1
ENSG00000105141,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,102,4,0,0,0,0,2,0,76,0,0,7410,0,1,0,19,21,0,0,3,120,0,2,0,467,0,2
ENSG00000215580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,4,27,1,42,22,28,124,1,35,3,3,20,29,7,33,4,16,13
ENSG00000227234,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,5,5,1,0,0,0,1,0,1659,0,2,35,0,140,0,2660,0,0,0,1,0,0,0,0,0,0,2
ENSG00000002745,4,7,7,15,6,37,4,40,3,1,11,5,8,13,4,14,3,2,4,7,30,56,4,15,2,8,5,4,20,13,13,4,13,51,47,6,119,8,4,7,4,12,5,11,9155,7,19,9,9,5
ENSG00000169297,0,4,0,1,1,1,0,5,3,0,0,0,0,0,1,4,0,0,6,0,19,0,0,6,0,1,3,6,1,1,0,304,1,25,4,0,565,137,0,0,0,0,0,5,1,1,27,2,0,969
ENSG00000260458,0,0,0,0,0,0,0,0,0,1,2,2,0,4,1,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,58,0,0,0,0,0,1,369,0,0,0,0,87,1,0,3,0,0,3
ENSG00000179914,908,62,3,18,40,46,3,152,2,510,83,10,36,99,2,33,5,14,2,22,20,175,6,23,7,11,13,80,13,100,145,4,47,6,2,27,5,28,8,43,96,3,13,66,4,12,67,14,11,2
ENSG00000229807,1390,5920,4675,4692,5959,1874,7095,3538,905,348,8214,15907,5534,932,586,10617,1614,14959,7043,749,3050,1323,2216,2622,25101,6918,49582,10307,6510,5604,12283,6,6,6,1,16,0,7,3,0,4,28,3,4,0,1,281,15,1,0
ENSG00000154478,1,0,1,1,0,0,3,2,0,1,0,1,0,19,1,15079,0,4,0,1,1,0,0,0,0,0,102,0,1,1,0,0,2,0,0,1,2,0,0,1,1,0,0,6,0,0,0,1,0,2
ENSG00000166049,0,0,10,0,0,0,0,0,0,4,0,2,1,3,0,0,0,0,0,0,0,0,1,25,479,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0
ENSG00000139219,1,4,480,38,2,0,13,5,18,3,6,4,0,116,1,4,0,1,37786,4,54,52,216,108,6,1,17794,1,65,7,3,4,12,6,2,17,2,0,7,5,3,5,4,3,1,71,6,14,0,3
ENSG00000170370,0,0,1,0,1,5,1,0,1,1,0,2,2,18806,1,4,0,1,23,6,1,5,1,0,0,1,0,1,1,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,2,5
