,TCGA-50-5931-01A-11R-1755-07,TCGA-55-8299-01A-11R-2287-07,TCGA-55-8508-01A-11R-2403-07,TCGA-44-7667-01A-31R-2066-07,TCGA-49-6744-01A-11R-1858-07,TCGA-99-8025-01A-11R-2241-07,TCGA-38-4627-01A-01R-1206-07,TCGA-44-4112-01A-01R-1107-07,TCGA-44-8117-01A-11R-2241-07,TCGA-50-6593-01A-11R-1755-07,TCGA-73-4662-01A-01R-1206-07,TCGA-49-AARN-01A-21R-A41B-07,TCGA-55-A48X-01A-11R-A24H-07,TCGA-95-7948-01A-11R-2187-07,TCGA-05-4430-01A-02R-1206-07,TCGA-67-3771-01A-01R-0946-07,TCGA-69-7980-01A-11R-2187-07,TCGA-67-3770-01A-01R-0946-07,TCGA-55-8514-01A-11R-2403-07,TCGA-69-A59K-01A-11R-A262-07,TCGA-83-5908-01A-21R-2287-07,TCGA-NJ-A4YQ-01A-11R-A262-07,TCGA-55-A48Z-01A-12R-A24X-07,TCGA-44-5644-01A-21R-2039-07,TCGA-MP-A4T4-01A-11R-A262-07,TCGA-53-A4EZ-01A-12R-A24X-07,TCGA-55-A4DG-01A-11R-A24H-07,TCGA-62-8399-01A-21R-2326-07,TCGA-44-5643-01A-01R-1628-07,TCGA-49-AAR2-01A-11R-A39D-07,TCGA-L4-A4E6-01A-11R-A24H-07,TCGA-05-4418-01A-01R-1206-07,TCGA-05-5428-01A-01R-1628-07,TCGA-44-6778-01A-11R-1858-07,TCGA-55-6642-01A-11R-1858-07,TCGA-78-7160-01A-11R-2039-07,TCGA-50-5072-01A-21R-1858-07,TCGA-64-1676-01A-01R-0946-07,TCGA-95-7562-01A-11R-2241-07,TCGA-05-4397-01A-01R-1206-07,TCGA-73-4659-01A-01R-1206-07,TCGA-78-7150-01A-21R-2039-07,TCGA-69-8453-01A-12R-2326-07,TCGA-62-A470-01A-11R-A24H-07,TCGA-78-7154-01A-11R-2039-07,TCGA-86-8358-01A-11R-2326-07,TCGA-MP-A4TI-01A-21R-A24X-07,TCGA-64-1680-01A-02R-0946-07,TCGA-35-4122-01A-01R-1107-07,TCGA-L9-A743-01A-43R-A39D-07
ENSG00000241859,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,144,15,170,2,35,49,4,40,58,42,24,29,10,247,46,11,28,5,18,0,26,3,11,4
ENSG00000131482,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,85,1,0,3,0,1,0,1,0,0,0,756,0,0,0,1,16,0,1,3,0,1,0,0,0,4,0,0,0,0
ENSG00000267793,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11,6,1,14,4,0,10,10,15,4,0,0,26,6,6,7,17,4,1,9,0,0,15
ENSG00000239893,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,59,39,0,0,0,1,47,27,0,0,1,13,0,18,1
ENSG00000081051,552,0,1,3,0,0,18,3,0,0,0,0,1,1,1,0,2,45,0,0,364,0,3,1,0,0,0,1,0,1,0,12,0,2,0,29,3,0,28,3,1,2,1,3,0,2,1,0,11,1
ENSG00000233070,0,0,0,0,0,0,0,1,1,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,59,1,3,10,2,9,49,6,4,3,22,24,2,3,137,4,4,43,0,15,1,6,6,12,4
ENSG00000168757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,51,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000204941,29,0,0,0,0,0,5,1,1,0,0,0,1,0,1,1,0,1,0,0,1,2,0,0,4,1,4,0,0,0,1,2,0,0,2,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0
ENSG00000122585,37,0,1,2,0,0,2,1,0,0,2,0,0,6,2,9,5,0,0,0,0,0,66,0,1,10,2,0,0,4,1,0,0,0,0,0,2,0,12,0,0,31,7,0,0,12,0,0,0,0
ENSG00000233052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254647,0,0,1,0,0,0,0,0,1,0,0,3225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
ENSG00000229807,7608,6311,852,396,1177,2021,241,424,9386,668,6027,6969,11974,12450,1123,857,11311,1976,1729,12358,18023,2277,6576,257,10475,6,7,14,3,8,0,0,0,53,1,9,3,1,15,1,4,6,5,1601,1,3,14,0,0,5
