,TCGA-91-8499-01A-11R-2403-07,TCGA-50-6595-01A-12R-1858-07,TCGA-L9-A5IP-01A-21R-A39D-07,TCGA-55-8204-01A-11R-2241-07,TCGA-NJ-A4YQ-01A-11R-A262-07,TCGA-97-A4M0-01A-11R-A24X-07,TCGA-NJ-A55O-01A-11R-A262-07,TCGA-95-A4VN-01A-11R-A262-07,TCGA-78-7146-01A-11R-2039-07,TCGA-05-4430-01A-02R-1206-07,TCGA-67-3774-01A-01R-0946-07,TCGA-50-6593-01A-11R-1755-07,TCGA-MP-A5C7-01A-11R-A262-07,TCGA-38-7271-01A-11R-2039-07,TCGA-49-4487-01A-21R-1858-07,TCGA-44-6776-01A-11R-1858-07,TCGA-55-8506-01A-11R-2403-07,TCGA-67-6217-01A-11R-1755-07,TCGA-MP-A4TF-01A-11R-A262-07,TCGA-55-8510-01A-11R-2403-07,TCGA-78-7159-01A-11R-2039-07,TCGA-44-6774-01A-21R-1858-07,TCGA-83-5908-01A-21R-2287-07,TCGA-NJ-A4YF-01A-12R-A262-07,TCGA-05-4405-01A-21R-1858-07,TCGA-91-A4BD-01A-11R-A24H-07,TCGA-55-6968-01A-11R-1949-07,TCGA-MP-A4SY-01A-21R-A24X-07,TCGA-55-A48Y-01A-11R-A24H-07,TCGA-97-A4M2-01A-12R-A24X-07,TCGA-NJ-A4YP-01A-11R-A262-07,TCGA-95-7944-01A-11R-2187-07,TCGA-78-7536-01A-11R-2066-07,TCGA-05-4397-01A-01R-1206-07,TCGA-73-4676-01A-01R-1755-07,TCGA-55-6642-01A-11R-1858-07,TCGA-MP-A4TD-01A-32R-A262-07,TCGA-05-4422-01A-01R-1206-07,TCGA-44-7671-01A-11R-2066-07,TCGA-44-2656-01A-02R-A278-07,TCGA-62-8398-01A-11R-2326-07,TCGA-73-4677-01A-01R-1206-07,TCGA-MP-A4SW-01A-21R-A24X-07,TCGA-62-A46P-01A-11R-A24H-07,TCGA-78-8640-01A-11R-2403-07,TCGA-38-4632-01A-01R-1755-07,TCGA-86-8358-01A-11R-2326-07,TCGA-L9-A50W-01A-12R-A39D-07,TCGA-05-4384-01A-01R-1755-07,TCGA-50-5946-01A-11R-1755-07
ENSG00000233052,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
ENSG00000229807,2078,415,743,1334,2277,22539,3782,7393,4294,1123,2133,668,18356,552,1003,1573,3155,1564,4710,4027,5158,1902,18023,395,1137,0,42,2,4,3,10,1,0,1,3,1,9,2,3,10,3,0,0,3,5,1,3,5,1,197
ENSG00000244468,0,4,0,1,8568,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
ENSG00000159516,0,0,0,320,0,0,0,0,1,0,0,0,1,2,4,0,2,0,0,0,0,0,1,0,0,0,37,0,0,0,9,0,0,17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000105198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000124467,0,0,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000242221,0,3,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000231924,1,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0
ENSG00000203786,0,0,4,15,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
ENSG00000170162,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,4,0,6,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,7,2,1,1
ENSG00000203857,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,4,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2
ENSG00000175535,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,2
ENSG00000243137,2,0,354,649,11,0,0,0,17,0,0,0,0,0,2,0,0,0,6,11,0,0,0,0,0,0,3,11,0,0,0,0,0,611,0,0,0,0,1,0,1,1,0,0,17,0,0,0,0,1
ENSG00000236731,168,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000268864,0,0,0,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,3,6,0,0,3,0,2,0,1,0,0,0,0,1,1,0,1,0,0,2,1,0
ENSG00000145242,0,2,0,2,1,1,3,1,1,7,5,7,1,12,0,0,0,1,0,2,17,3,4,0,10,2,2,1,0,4,0,0,1,2,5,1,0,0,4,0,0,3,0,0,0,0,45,1,5,0
ENSG00000146352,3595,0,0,0,0,0,0,1,0,4,0,2,9,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,1,0,2,3,0,0,0,0,0,0,0,37,0,0,0
ENSG00000178287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236858,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000221826,0,3,29,0,187,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,44,0,0,0,5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,17,0,0,0,1,0
ENSG00000257193,0,1,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,7,0,0,0,0,0,0,1,0,0,3,0,0,3,11,0,1
ENSG00000264706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
