,TCGA-50-5942-01A-21R-1755-07,TCGA-55-7283-01A-11R-2039-07,TCGA-44-6774-01A-21R-1858-07,TCGA-J2-A4AD-01A-11R-A24H-07,TCGA-55-8621-01A-11R-2403-07,TCGA-69-7974-01A-11R-2187-07,TCGA-44-A4SU-01A-11R-A24X-07,TCGA-44-5645-01A-01R-A278-07,TCGA-44-3396-01A-01R-1206-07,TCGA-05-4425-01A-01R-1755-07,TCGA-55-A48X-01A-11R-A24H-07,TCGA-78-7161-01A-11R-2039-07,TCGA-55-6981-01A-11R-1949-07,TCGA-44-2657-01A-01R-1107-07,TCGA-4B-A93V-01A-11R-A39D-07,TCGA-73-7498-01A-12R-2187-07,TCGA-78-7153-01A-11R-2039-07,TCGA-55-8205-01A-11R-2241-07,TCGA-55-6543-01A-11R-1755-07,TCGA-49-4506-01A-01R-1206-07,TCGA-44-6775-01A-11R-A278-07,TCGA-53-7624-01A-11R-2066-07,TCGA-49-AARO-01A-12R-A41B-07,TCGA-05-4427-01A-21R-1858-07,TCGA-95-7948-01A-11R-2187-07,TCGA-55-1594-01A-01R-0946-07,TCGA-55-8085-01A-11R-2241-07,TCGA-38-4632-01A-01R-1755-07,TCGA-MN-A4N1-01A-11R-A24X-07,TCGA-62-A472-01A-11R-A24H-07,TCGA-78-7148-01A-11R-2039-07,TCGA-44-7669-01A-21R-2066-07,TCGA-35-4123-01A-01R-1107-07,TCGA-05-4433-01A-22R-1858-07,TCGA-05-4395-01A-01R-1206-07,TCGA-64-1676-01A-01R-0946-07,TCGA-78-8660-01A-11R-2403-07,TCGA-55-7903-01A-11R-2170-07,TCGA-05-4426-01A-01R-1206-07,TCGA-50-7109-01A-11R-2039-07,TCGA-78-7167-01A-11R-2066-07,TCGA-78-7542-01A-21R-2066-07,TCGA-55-A490-01A-11R-A466-07,TCGA-55-7227-01A-11R-2039-07,TCGA-44-A4SS-01A-11R-A24X-07,TCGA-38-A44F-01A-11R-A24H-07,TCGA-55-6975-01A-11R-1949-07,TCGA-50-5939-01A-11R-1628-07,TCGA-05-4396-01A-21R-1858-07,TCGA-95-7562-01A-11R-2241-07
ENSG00000203786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0
ENSG00000170162,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,1,0,0,18,0
ENSG00000203857,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1660,0,1,0,0,0,1,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0
ENSG00000175535,0,0,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,15,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000243137,0,0,0,153,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,16764,9,1,0,19,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,12
ENSG00000236731,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2340,0,0,0,2,0,0,0,0,0,0,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0
ENSG00000268864,0,0,0,4,3,1,1,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1786,0,1,2,0,1,0,3,0,1,1,0,1,0,0,2,0,0,0,0,1,0,0,2,4,0,0,0,0
ENSG00000145242,92,6,3,6,9,7,1,2,3,34,20,3,0,0,0,0,2,4,3,0,2,1,7,1,2,0,0,0,0,0,0,4,0,0,0,14,0,0,2,0,3,7,0,1,4,1,0,1,2,126
ENSG00000146352,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,125,0,0,2,3,0,0,0,0,0,16,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1
ENSG00000178287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221826,0,0,0,19,0,7,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,5997,2,0,1,53,0,0,31,7,2,0,2,0,75,0,21,1,1,0,0,0,0,0,0,0,37,0,0,0
ENSG00000257193,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,50,0,0,3,0,0,0,0,0,0,1,0,0,0
ENSG00000264706,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
